X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
"SALARY","PA_1B",0.15415,0.116025075,0.048439994,0.14582,5.0,0.19525604
"BK","R3",0.15414,0.102537625,0.11084999,0.14971,5.0,0.22716156
"PA_1B","BBr",0.15414,0.1111414,0.08813,0.1486,5.0,0.20736103
"HBP","SB%",0.15413,0.12953116,0.07695999,0.14803,5.0,0.15684018
"LD","IBBR",0.15408,0.13568893,0.12159,0.14765,5.0,0.13561371
"1B","PA_1B",0.15407,0.12487362,0.035510004,0.14778,5.0,0.1708695
"POP","RBIR",0.15407,0.050376296,0.03773001,0.14952,5.0,0.32201508
"G_SS","R3BI%",0.15407,0.1535873,0.04162,0.14613,5.0,-0.021970605
"PA_RF","D_VORP",0.15402,0.14372228,0.03289,0.14482,5.0,0.101477645
"G_RF","D_VORP",0.15402,0.1470262,0.052899994,0.14482,5.0,0.083628915
"END_GAME","TBP",0.15401,0.03947454,0.021190003,0.15285,5.0,0.33843088
"G_PR","R",0.1539,0.102637164,0.05319,0.14837,5.0,-0.22641297
"IBBR","OBI",0.15389,0.0832553,0.10302,0.1483,5.0,0.2657719
"BK","LD",0.15386,0.13716878,0.12374,0.14771,5.0,0.12919451
"SIT_DP","G_C",0.15385,0.1523204,0.0761,0.15044,4.9068904,-0.03911018
"G_2B","R3BI%",0.15384,0.13530247,0.02135,0.14657,5.0,0.13615261
"G_LF","OUTR",0.15382,0.13997701,0.09943999,0.14866,5.0,-0.11765621
"H","PA_CF",0.15381,0.12282391,0.035030004,0.14665,5.0,0.17602865
"POP%","R2",0.15381,0.13967465,0.043279998,0.14578,5.0,-0.11889218
"PA_PH","SO/BB",0.1538,0.15215164,0.05822,0.14527,5.0,0.04059989
"G_PH","SO/BB",0.1538,0.15218249,0.060069993,0.14527,5.0,0.04021816
"SB","R3BI%",0.15376,0.15192942,0.040020004,0.14471,5.0,0.042785197
"HR","G_LF",0.15373,0.095304385,0.06255001,0.14895,5.0,0.24171393
"SO","PA_1B",0.15373,0.089705795,0.017280005,0.14833,5.0,0.25303006
"2B","FC",0.15369,0.08252193,0.073089994,0.14948,5.0,0.26677343
"FB","NSOR",0.15369,0.13171203,0.059919998,0.14602,5.0,-0.14824967
"G_1B","OBP",0.15365,0.11599243,0.08408,0.14742,5.0,0.19405559
"TB","G_1B",0.15363,0.080570586,0.046120003,0.15,5.0,0.27029505
"GB","PA_2B",0.15355,0.10935582,0.022519998,0.14564,5.0,0.21022412
"Record_ID#","SFR",0.15353,0.15320902,0.13871,0.1437,5.0,-0.017915916
"IBB","PA_DH",0.15353,0.11603256,0.058310002,0.14784,5.0,0.19364256
"GB","HBPR",0.1535,0.12932236,0.11592001,0.14512,5.0,-0.15549159
"PA_1B","D_RAP",0.1535,0.13021566,0.029590003,0.14592,5.0,0.15259208
"STRIKES","B1R",0.15347,0.14970507,0.060039997,0.1444,5.0,0.06135899
"SALARY","3B",0.15343,0.1533665,0.0999,0.1475,5.0,-0.007967953
"G_SS","D_RPMLV",0.15343,0.14817727,0.026040003,0.14456,5.0,0.07247575
"TB","D_BPF",0.15341,0.15044458,0.013740003,0.14282,5.0,0.054455623
"PA_LF","D_OUTS_EQ",0.15337,0.12953727,0.02138,0.1457,5.0,0.1543785
"DP%","D_VORPr",0.15331,0.15326497,0.036799997,0.148,5.0,-0.0067110024
"POS","LD%",0.1533,0.15267539,0.11224,0.14657,5.0,-0.024992356
"PA_2B","G_PR",0.15329,0.1519812,0.078080006,0.14965,5.0,-0.036177322
"ROEr","R2BI%",0.15323,0.1527983,0.12321,0.14468,5.0,-0.020777412
"G_PH","SB%",0.15322,0.13444017,0.0304,0.14952,5.0,-0.13703953
"ROEr","POP%",0.15319,0.15087691,0.11649001,0.14593,5.0,0.04809456
"UBBr","D_VORPr",0.15316,0.08800134,0.047680005,0.14661,5.0,0.25526196
"PA_1B","PA_3B",0.15315,0.1511622,0.022459999,0.14679,5.0,-0.044584744
"PA_2B","D_MLVr",0.15314,0.14489259,0.018909998,0.14902,5.0,0.090815246
"G_3B","GB%",0.15314,0.11357597,0.02206999,0.14372,5.0,-0.19890706
"IBB","PA_PH",0.15312,0.11238684,0.060279995,0.15088,5.0,-0.20182458
"IBB","G_PH",0.15312,0.11262165,0.060279995,0.15088,5.0,-0.201242
"ROE","HITR",0.1531,0.019854188,0.026500002,0.15309,5.0,0.3650285
"PA_C","OBI",0.1531,0.1530983,0.08358,0.1531,4.70044,0.0013035131
"UBBr","R3BI%",0.15307,0.108155295,0.08668,0.14588,5.0,-0.21193092
"GIDP","G_3B",0.15306,0.14415105,0.054720007,0.1482,5.0,0.094387256
"SFR","R2BI%",0.15305,0.15201774,0.117070004,0.14654,5.0,0.032128755
"H","G_CF",0.15304,0.12948652,0.03051,0.14745,5.0,0.15347145
"G_LF","GB%",0.15303,0.14812213,0.022129998,0.14492,5.0,-0.070056155
"WP","G_LF",0.15302,0.14755651,0.095149994,0.14904,5.0,0.07391535
"UBB","G_LF",0.153,0.1306187,0.02195999,0.14736,5.0,0.14960378
"BB","G_LF",0.15299,0.13010544,0.02188,0.14726,5.0,0.15127642
"SO/BB","B3R",0.15292,0.1459389,0.14346999,0.14415,5.0,-0.083552934
"SB%","D_VORPr",0.15292,0.039897732,0.03316,0.14774,5.0,0.33618784
"SALARY","LEADOFFR",0.15291,0.15221986,0.07672999,0.14516,5.0,-0.026270287
"SO","G_SS",0.15287,0.15201285,0.02262,0.1437,5.0,-0.029277049
"ROEr","D_NETDP",0.15287,0.15023759,0.12845,0.14495,5.0,-0.051307064
"HBP","WP",0.15285,0.0673179,0.03322,0.15285,4.807355,0.2924587
"SO/BB","HRr",0.15279,0.15270886,0.11218999,0.14577,5.0,-0.009007753
"RBI","SB%",0.15277,0.10673283,0.013609998,0.14482,5.0,0.21456273
"RBI","PA_C",0.15275,0.15210636,0.07632001,0.15275,4.9068904,-0.025370004
"SH","HRr",0.15274,0.0032415986,0.010550007,0.15274,4.321928,-0.38665023
"RBI","BK",0.15274,0.10657352,0.10976,0.14638,5.0,0.21486387
"PA_DH","R1_BI",0.15274,0.11122465,0.05595,0.14781,5.0,0.20375317
"POP%","R1",0.1527,0.14058076,0.015179999,0.14639,5.0,-0.11008743
"LEADOFFR","POP%",0.15267,0.15061384,0.075689994,0.14561,5.0,0.045344815
"SH","OBI",0.15266,0.13542962,0.07585999,0.14694,5.0,-0.13126454
"SB%","D_RPMLVr",0.15266,0.070979424,0.033749998,0.14826,5.0,0.28579813
"BALLS","B3R",0.15258,0.13759938,0.13879,0.14459,5.0,0.122395314
"PITCHES","G_DH",0.15257,0.14652015,0.038749993,0.14498,5.0,0.07778074
"GB","BBr",0.15257,0.14894482,0.085549995,0.1437,5.0,-0.060209427
"PA_2B","HITR",0.15256,0.1198805,0.07682999,0.14871,5.0,0.18077472
"G_SS","TBP",0.15255,0.15066168,0.074159995,0.14886,5.0,-0.043454774
"HBP","G_1B",0.15251,0.13174526,0.05775,0.14773,5.0,0.14409977
"POS","D_OUTS_EQ",0.1525,0.15249181,0.03637,0.14559,5.0,-0.0028635217
"H","FB%",0.15245,0.12029763,0.009190001,0.14516,5.0,0.1793108
"SH","R3",0.15244,0.14884958,0.081149995,0.14784,5.0,-0.059920173
"PICKOFF","D_RPMLVr",0.15238,0.10552757,0.105280004,0.14604,5.0,0.21645422
"FB","PA_DH",0.15233,0.14785293,0.024179995,0.14585,5.0,0.06691095
"D_ISO","IBBR",0.15232,0.0424966,0.059149995,0.14922,5.0,0.33139613
"PA_1B","SHR",0.15227,0.11331904,0.08596,0.15003,5.0,-0.19736
"POS","STRIKES",0.15226,0.15224034,0.029930003,0.14335,5.0,0.0044347015
"HBPR","D_BPF",0.15226,0.14873424,0.12772,0.1444,5.0,0.059378177
"SFR","OBI",0.15226,0.1356229,0.08005001,0.14739,5.0,0.12898491
"CS","D_MLVr",0.15226,0.118961066,0.081470005,0.14636,5.0,0.18247996
"PA_PH","SB%",0.15224,0.13361266,0.0304,0.14888,5.0,-0.136482
"END_GAMER","D_NETDP",0.15222,0.15168166,0.11587,0.14523,5.0,0.023202054
"G_CF","SB%",0.15221,0.118591025,0.04089,0.14705,5.0,0.18335478
"GB","IBBR",0.1522,0.14532834,0.12257,0.14367,5.0,0.082895465
"PA_1B","D_BPF",0.1522,0.15198758,0.01952,0.14363,5.0,-0.014574711
"WP","GB%",0.15214,0.12250152,0.09999001,0.14552,5.0,-0.17215832
"PA_SS","PA_PH",0.15213,0.13262348,0.040519997,0.14822,5.0,-0.13966574
"PA_SS","G_PH",0.15213,0.13266574,0.040519997,0.14822,5.0,-0.13951437
"END_GAMER","D_MLVr",0.15211,0.07217805,0.051039994,0.14572,5.0,-0.28272238
"POS","BALLS",0.1521,0.15164286,0.039270002,0.14313,5.0,0.021380734
"Record_ID#","BB",0.15209,0.15185514,0.05195,0.14304,5.0,-0.015325002
"LD","D_BPF",0.15207,0.15152207,0.02724,0.14351,5.0,0.023408014
"PA_1B","G_3B",0.15207,0.14973952,0.022850007,0.14571,5.0,-0.04827508
"SALARY","G_1B",0.15204,0.11947012,0.039410003,0.14394,5.0,0.18047127
"PA_PH","END_GAMER",0.15204,0.04750576,0.078140005,0.15006,5.0,0.32331756
"G_PH","END_GAMER",0.15204,0.047026806,0.078140005,0.15006,5.0,0.3240574
"IBB","HRr",0.15196,-0.06508237,0.025429994,0.15196,4.70044,0.46587807
"PA_1B","R3BI%",0.15195,0.14814802,0.03717,0.14478,5.0,0.061660226
"PA_CF","SO/BB",0.15194,0.15108521,0.05505,0.14575,5.0,-0.029236687
"TOB","ROEr",0.15193,0.1341444,0.111,0.14432,5.0,-0.1333627
"PA_RF","D_BPF",0.15193,0.15191686,0.029989995,0.14456,5.0,-0.003624802
"G_RF","D_BPF",0.15193,0.15190342,0.055840008,0.14456,5.0,-0.0051557263
"PA_SS","OBI%",0.15192,0.1443662,0.024170011,0.14456,5.0,-0.08691263
"Record_ID#","HBPR",0.1519,0.15183291,0.13238999,0.14327,5.0,-0.008190121
"PA_DH","G_2B",0.1519,0.13869306,0.021920003,0.14821,5.0,-0.11492138
"UBB","PA_C",0.15188,0.14703065,0.03695,0.14934,5.0,-0.06963726
"LEADOFFR","R2BI%",0.15188,0.14815055,0.08164,0.14484,5.0,-0.06106923
"SO","G_2B",0.15182,0.15034804,0.013640001,0.14679,5.0,0.03836614
"G_SS","D_RARP",0.15181,0.14138003,0.026280005,0.14315,5.0,0.102127254
"HITR","RUNR",0.15179,-0.0455997,0.014459997,0.15176,5.0,0.4442856
"IBB","G_LF",0.15178,0.14289021,0.079739995,0.14578,5.0,0.09428563
"G_CF","D_PMLV",0.15178,0.15122251,0.043419994,0.14341,5.0,0.023610946
"FC","D_BPF",0.15176,0.15143758,0.1288,0.14409,5.0,0.017956134
"END_GAME","HITR",0.15175,0.07765234,0.05133,0.15175,4.807355,0.27220884
"G","FB%",0.15174,0.101242,0.02107,0.14496,5.0,0.2247176
"LEADOFF_PA","D_BPF",0.15174,0.14978471,0.014430001,0.14366,5.0,0.044218607
"POP%","R2_BI",0.15174,0.14101923,0.08902,0.14537,5.0,-0.10354119
"FC","OBI%",0.15173,0.14004664,0.12255,0.14413,5.0,0.10808961
"G_LF","R2BI%",0.15171,0.14504853,0.052470006,0.14353,5.0,0.08161788
"PA_PH","R1BI%",0.15167,0.14165619,0.04828,0.14549,5.0,-0.10006897
"G_PH","R1BI%",0.15167,0.14162552,0.048430003,0.14549,5.0,-0.10022212
"PA_LF","G_PR",0.15163,0.15024121,0.07455,0.14586,5.0,-0.037266463
"PA_CF","D_PMLV",0.15162,0.14926639,0.03406,0.14421,5.0,0.048513956
"ROE","SB%",0.15161,0.08679245,0.06708,0.14727,5.0,0.25459293
"ROE","LD%",0.15159,0.14746736,0.108780004,0.14534,5.0,0.0642078
"G_PR","D_NETDP",0.15159,0.1454725,0.088570006,0.1433,5.0,-0.07821451
"G_DH","RBIR",0.15152,0.10466906,0.05692,0.1473,5.0,0.21645078
"G","POP%",0.15151,0.1325513,0.034730002,0.14277,5.0,-0.1376906
"G_LF","D_MLVr",0.15151,0.12590994,0.03458,0.14675,5.0,0.16000019
"B2R","DP%",0.15148,0.1473643,0.09784,0.1436,5.0,0.064153776
"2B","SB%",0.15147,0.07417287,0.01985,0.14703,5.0,0.27802363
"PA_SS","D_RARP",0.15144,0.13282768,0.04796,0.14306,5.0,0.13642696
"GIDP","OUTR",0.1514,0.058414042,0.032699995,0.15133,5.0,-0.304936
"PA_LF","SO/BB",0.15136,0.15039241,0.020440005,0.1453,5.0,-0.031106122
"2B","BK",0.15132,0.1288935,0.106879994,0.14583,5.0,0.14975479
"B2R","R3BI%",0.15129,0.14511216,0.11591,0.14368,5.0,0.07859926
"SO/BB","RBIR",0.15124,0.15080172,0.083610006,0.14426,5.0,-0.02093534
"PA_C","D_MLVr",0.15122,0.14688864,0.019220002,0.14753,5.0,-0.06581302
"PA_3B","R",0.15122,0.13003968,0.040019996,0.1475,5.0,0.1455346
"SALARY","G_CF",0.15112,0.1510674,0.07750001,0.14344,5.0,-0.0072523127
"1B","PA_SS",0.15109,0.06974064,0.030710004,0.14855,5.0,0.2852181
"PA_1B","RBIR",0.15107,0.055407085,0.06489,0.14741,5.0,0.30929422
"POP","G_PH",0.15102,0.06689914,0.018410012,0.14673,5.0,-0.29003596
"PA_2B","PICKOFF",0.15101,0.12134218,0.10186,0.14636,5.0,0.17224349
"POS","SO",0.151,0.14888865,0.044369996,0.14306,5.0,0.045949314
"AB","PA_CF",0.15097,0.11054954,0.0372,0.14671,5.0,0.2010484
"POP","SB",0.15097,0.07864921,0.028080001,0.14892,5.0,0.26892525
"HR","D_BPF",0.15095,0.1490497,0.092480004,0.14128,5.0,0.04359247
"PA_SS","D_MLVr",0.15095,0.15090114,0.024289995,0.14817,5.0,-0.0069901906
"SB","D_BPF",0.15093,0.14955328,0.036680005,0.14149,5.0,0.037104152
"DP","D_ISO",0.15092,0.061865963,0.021710001,0.14221,5.0,0.29841924
"BK","SIT_DP",0.15092,0.12050998,0.11099,0.14407,5.0,0.17438468
"TB","B1R",0.15091,0.14851324,0.06012,0.14479,5.0,0.048956763
"PA_LF","D_VORPr",0.15084,0.12872031,0.06602,0.14449,5.0,0.14872688
"G","END_GAMER",0.15083,0.12473813,0.058909997,0.1444,5.0,-0.16152978
"END_GAME","PA_C",0.15082,0.15001334,0.09964,0.14264,5.0,-0.028401703
"FB","D_BPF",0.15082,0.14634097,0.023540005,0.14305,5.0,0.066925555
"ROEr","D_VORP",0.15081,0.13637376,0.12455,0.14252,5.0,-0.12015095
"LD","BBr",0.1508,0.15026331,0.09945001,0.14395,5.0,0.023166701
"PA_1B","R1_BI",0.15079,0.01246874,0.043360002,0.14482,5.0,0.37191567
"PA","UBBr",0.15077,0.14198805,0.09907,0.14373,5.0,0.093712024
"G_2B","DP%",0.15076,0.15049158,0.034109995,0.14512,5.0,-0.016383497
"1B","PA_3B",0.15069,0.1361806,0.020259999,0.14617,5.0,0.12045503
"G_1B","D_NETDP",0.15067,0.14582807,0.028280005,0.14146,5.0,0.06958406
"SO/BB","SB%",0.15067,0.13378268,0.03587001,0.14424,5.0,-0.12995122
"G_3B","R3_BI",0.15065,0.12322645,0.055659994,0.14501,5.0,0.16560057
"LEADOFF_PA","G_RF",0.15064,0.12817763,0.040239997,0.147,5.0,0.14987452
"BB","B2R",0.15059,0.09064813,0.06605,0.1452,5.0,0.2448303
"PA","PA_CF",0.15053,0.10948601,0.030449998,0.14129,5.0,0.20259313
"STRIKES","G_CF",0.15052,0.11631197,0.024560004,0.14138,5.0,0.18495414
"WP","DP%",0.15051,0.14757335,0.11306,0.14212,5.0,0.0541908
"PA_RF","D_PMLV",0.15051,0.14916785,0.035969995,0.14296,5.0,0.036635276
"G_RF","D_PMLV",0.15051,0.15006487,0.05862,0.14296,5.0,0.021098208
"GB","SFR",0.15047,0.14878714,0.08958,0.14295,5.0,-0.041022714
"IBBR","D_MLVr",0.15044,0.043203637,0.07084001,0.14438,5.0,0.32746965
"PA_CF","SB%",0.15041,0.11797802,0.019920006,0.14458,5.0,0.18008879
"H","POP%",0.1504,0.11849504,0.009469997,0.14492,5.0,-0.1786196
"PA_1B","D_VORPr",0.1504,0.1201411,0.03495,0.1455,5.0,0.17395087
"HBP","G_CF",0.15038,0.14574116,0.10684,0.14669,5.0,0.06810902
"G","SFR",0.15036,0.1496095,0.09939,0.1429,5.0,0.027395248
"POS","TB",0.15035,0.15024237,0.03818,0.14273,5.0,0.010374502
"UBBr","R2BI%",0.15034,0.13693473,0.09825,0.14179,5.0,-0.11578119
"SF","PA_C",0.15032,0.14977488,0.092949994,0.14498,5.0,0.023347551
"POP%","OBI%",0.15029,0.1471338,0.021520004,0.14375,5.0,-0.056180097
"Record_ID#","UBB",0.15026,0.15021753,0.047310002,0.14329,5.0,-0.0065172855
"HBPR","PA_ROB",0.15026,0.14237176,0.12837,0.14266,5.0,-0.08881574
"FB%","SB%",0.15025,0.13613105,0.039230004,0.14188,5.0,-0.11882321
"3B","RUNR",0.15021,0.008645907,0.04225,0.15021,3.321928,0.37625003
"ABR","R2BI%",0.15021,0.12900986,0.10017999,0.14398,5.0,0.14560264
"AVG","DP%",0.15019,0.13880228,0.08631,0.14311,5.0,0.10671324
"NSOR","RUNR",0.15017,0.019368395,0.016379997,0.14867,5.0,-0.36166504
"BK","GB%",0.15013,0.14564392,0.12775001,0.14202,5.0,-0.06697818
"BK","FB",0.15009,0.11926627,0.10206999,0.14383,5.0,0.17556687
"POP","PA_C",0.15007,0.14894505,0.058419995,0.1453,5.0,-0.033540286
"SO/BB","ROEr",0.15006,0.11832516,0.12604,0.14318,5.0,0.17814276
"PICKOFF","R2_BI",0.15001,0.110377215,0.07379001,0.14762,5.0,0.19907986
"AVG","SOr",0.15,-0.02096793,0.018850006,0.14958,5.0,-0.4134827
"B3R","D_BPF",0.15,0.14932306,0.14485,0.14143,5.0,-0.026018128
"G_2B","SO/BB",0.14999,0.14823915,0.04172001,0.14215,5.0,-0.041843202
"LEADOFFR","R3",0.14998,0.13214469,0.045329995,0.14263,5.0,-0.13354887
"STRIKES","PA_CF",0.14995,0.10665235,0.0314,0.14232,5.0,0.20808087
"BB","B1R",0.14994,0.12221421,0.08116,0.14453,5.0,-0.16651061
"LD","ABR",0.14989,0.14601271,0.099800006,0.14257,5.0,0.06226791
"PB","LD%",0.14986,0.14878978,0.13269,0.14502,5.0,0.032714117
"POP%","PA%",0.14985,0.13535944,0.026669994,0.14111,5.0,-0.12037673
"RBI","END_GAMER",0.14983,0.096189134,0.049950004,0.14527,5.0,-0.23160498
"SB","R3_BI",0.14982,0.0901704,0.03362,0.14876,5.0,0.24423268
"3B","R3BI%",0.14978,0.14731486,0.10193001,0.14237,5.0,0.04965017
"Record_ID#","PB",0.14977,0.14407529,0.12641001,0.14087,5.0,0.07546331
"SH","SO/BB",0.14977,0.14827758,0.109510005,0.14142,5.0,-0.038631912
"ABR","DP%",0.14975,0.10101832,0.07812999,0.14314,5.0,0.22075252
"1B","UBBr",0.14974,0.1437987,0.103609994,0.14403,5.0,-0.07707985
"3B","PA_C",0.14974,0.11308916,0.04858,0.14974,4.70044,-0.19144407
"PA_1B","DP%",0.14974,0.14660786,0.0448,0.1439,5.0,0.055965442
"BB","PA_LF",0.14973,0.11561486,0.017919999,0.14217,5.0,0.18470283
"SF","PA_2B",0.14967,0.13564622,0.10265,0.14437,5.0,0.118422076
"CS","D_RPMLVr",0.14966,0.11009729,0.08753,0.14605,5.0,0.19890378
"TBP","D_BPF",0.14964,0.14474757,0.042529993,0.14241,5.0,0.06994588
"1B","BBr",0.14963,0.1488602,0.09865999,0.14202,5.0,-0.027745286
"SO/BB","PICKOFF",0.14962,0.14491941,0.12457,0.14217,5.0,-0.068560824
"HBP","TBP",0.1496,0.047892816,0.055419996,0.14734,5.0,0.31891564
"PA_SS","D_ISO",0.14959,0.13450895,0.030309997,0.14687,5.0,-0.12280494
"GIDP","PA_C",0.14957,0.145175,0.091910005,0.14617,5.0,0.066294886
"CS","R2BI%",0.14957,0.14947408,0.10301,0.14124,5.0,-0.009793678
"POP%","D_OUTS_EQ",0.14956,0.13859761,0.01159,0.1415,5.0,-0.10470144
"1B","G_3B",0.14953,0.13995364,0.01777,0.14206,5.0,0.09785884
"3B","R1BI%",0.14952,0.1431613,0.07905,0.14426,5.0,0.079741426
"BALLS","LEADOFFR",0.14951,0.14880721,0.051269993,0.13895,5.0,0.026509974
"HR","BBr",0.14948,0.04941091,0.046010002,0.14615,5.0,0.316337
"SFR","D_BPF",0.14948,0.14924718,0.13679,0.14067,5.0,-0.015258477
"END_GAME","D_ISO",0.14947,0.077593036,0.040199995,0.14829,5.0,0.2680988
"IBB","OUTR",0.14942,-0.06494832,0.010159999,0.14913,5.0,-0.46299925
"DP","OUTR",0.14937,0.037330933,0.013530001,0.14673,5.0,-0.33472237
"SALARY","D_NETDP",0.14936,0.12767252,0.01089,0.14232,5.0,0.14726667
"GIDP","FB%",0.14936,0.14634918,0.061219998,0.14226,5.0,0.05487104
"FC","PA_LF",0.14935,0.14877364,0.09697001,0.14335,5.0,0.024007648
"Record_ID#","PA_2B",0.14934,0.13313207,0.042310007,0.14014,5.0,-0.12731037
"D_ISO","BBr",0.14934,0.038076185,0.012620002,0.14729,5.0,0.3335623
"SO","G_LF",0.14933,0.11667296,0.032580003,0.14238,5.0,0.1807126
"SF","PA_3B",0.1493,0.11720005,0.099539995,0.14525,5.0,0.17916457
"PITCHES","LEADOFFR",0.14929,0.14821467,0.047829993,0.13973,5.0,0.03279213
"SOr","R2BI%",0.14921,0.13786782,0.081190005,0.14241,5.0,-0.106499664
"PA_DH","R1BI%",0.14919,0.10243124,0.02259,0.1433,5.0,0.21623772
"ROE","PA_C",0.14916,0.14207627,0.10156,0.14916,4.9068904,-0.08416487
"G","BK",0.14914,0.113662004,0.11258,0.14074,5.0,0.18835603
"G","ROEr",0.14913,0.13505983,0.11219,0.1423,5.0,-0.118617736
"G_3B","D_EqA",0.14913,0.13595998,0.06977,0.14384,5.0,0.114760704
"END_GAMER","D_VORPr",0.1491,0.062208757,0.047420003,0.14467,5.0,-0.29477322
"PITCHES","ROEr",0.14903,0.13002998,0.10705,0.14014,5.0,-0.13784057
"B1R","NSOR",0.149,0.0193149,0.010009997,0.14862,5.0,0.36011818
"ABR","D_RPMLVr",0.14898,0.08055991,0.06351001,0.14411,5.0,-0.26157236
"2B","G_PR",0.14896,0.05160301,0.026989996,0.14668,5.0,-0.3120208
"BB","PA_C",0.14894,0.14521861,0.04597,0.14547,5.0,-0.061003104
"BB","G_C",0.14894,0.14240843,0.037890002,0.14547,5.0,-0.08081815
"POP","RUNR",0.14892,0.05821147,0.023499995,0.14472,5.0,0.30117857
"END_GAMER","POP%",0.1489,0.14267513,0.11584,0.14299,5.0,0.07889783
"PA_DH","R3",0.14888,0.13772967,0.015269998,0.14403,5.0,0.105595104
"G_DH","R3",0.14888,0.14041847,0.03412001,0.14403,5.0,0.091986574
"PA_2B","R3BI%",0.14887,0.13299361,0.02087,0.14124,5.0,0.12600157
"PA_PH","R2_BI",0.14887,0.066082,0.043570004,0.14185,5.0,-0.28772905
"PA_1B","D_MLVr",0.14881,0.090343565,0.052199997,0.14288,5.0,0.24179833
"G_3B","SLG",0.14878,0.12834428,0.059720002,0.14407,5.0,0.14295357
"D_ISO","D_BPF",0.14875,0.14260109,0.06802001,0.14098,5.0,0.078415014
"G_LF","R1_BI",0.14873,0.11957504,0.07941999,0.14454,5.0,0.17074822
"G","G_PR",0.14868,0.12158491,0.06635,0.14103,5.0,-0.16460589
"1B","PA_CF",0.14868,0.12101288,0.023109999,0.1442,5.0,0.16633436
"G","G_LF",0.14867,0.12622742,0.02081,0.14077,5.0,0.14980847
"G","PA_LF",0.14865,0.12156631,0.025690004,0.1399,5.0,0.16457126
"POP","AVG",0.14864,0.07210117,0.030280001,0.13504,5.0,0.27665654
"IBBR","D_OUTS_EQ",0.14854,0.12887177,0.10953,0.14276,5.0,0.14024349
"G_PH","R2_BI",0.14852,0.06570912,0.04321999,0.14149,5.0,-0.28776878
"Record_ID#","INTERFERENCE",0.1485,0.1476136,0.12512,0.14171,5.0,0.02977245
"GB","SHR",0.1485,0.12922439,0.11298999,0.14006,5.0,-0.1388366
"PA_1B","PA_PH",0.14849,0.13862953,0.04552,0.14334,5.0,-0.09929993
"PA_1B","G_PH",0.14849,0.13864356,0.05145,0.14334,5.0,-0.0992292
"G_1B","FB%",0.14847,0.11414635,0.022840008,0.14153,5.0,0.18526642
"G_LF","OBP",0.14846,0.13543932,0.08745,0.14291,5.0,0.114108175
"SO/BB","B2R",0.14846,0.14714164,0.1106,0.14282,5.0,-0.03630923
"ROEr","ROB",0.14843,0.13075599,0.101890005,0.14102,5.0,-0.13294365
"IBBR","DP%",0.14842,0.14571528,0.12115,0.14244,5.0,-0.052006975
"PA_DH","OBI%",0.14838,0.13299306,0.030199997,0.14356,5.0,0.12404409
"G_2B","TBP",0.14836,0.14333862,0.045110002,0.142,5.0,0.07086173
"G_2B","D_MLVr",0.14834,0.14142123,0.027630001,0.14423,5.0,0.08317918
"GB","PA_RF",0.14833,0.10545079,0.019209996,0.14041,5.0,0.20707297
"GB","G_RF",0.14833,0.11345932,0.021129996,0.14041,5.0,0.18673693
"ABR","B1R",0.14831,-0.037044287,0.027279995,0.14831,4.807355,0.43052793
"H","IBBR",0.1483,0.116165064,0.11525001,0.14062,5.0,0.17926222
"POS","D_BPF",0.14828,0.14724655,0.13138999,0.14124,5.0,-0.03214725
"HITR","GB%",0.14828,0.14775947,0.094459996,0.14201,5.0,-0.022815231
"POS","PA_ROB",0.14827,0.14750846,0.038269997,0.14155,5.0,-0.02759588
"G_1B","CS",0.14827,0.13159157,0.058819994,0.14516,5.0,-0.12914498
"TOB","PA_DH",0.14816,0.13974479,0.025150001,0.14215,5.0,0.0917344
"G_RF","R3_BI",0.14815,0.12401322,0.078779995,0.14365,5.0,0.15536015
"PA_CF","B3R",0.14813,0.12530008,0.11122,0.14198,5.0,0.15109573
"POP","PA_PH",0.14808,0.0639998,0.015470013,0.14379,5.0,-0.28996587
"IBBR","SO/BB",0.14801,0.10007404,0.09343,0.14105,5.0,-0.21894282
"1B","PA_DH",0.148,0.14799921,0.046559997,0.14344,5.0,8.8493054E-4
"SOr","DP%",0.148,0.08646873,0.04621,0.14178,5.0,-0.24805498
"WP","RBIR",0.14798,-0.008285284,0.025770001,0.14798,4.169925,0.39530405
"POS","SHR",0.14797,0.14339949,0.120570004,0.14797,4.321928,-0.06760558
"H","G_PR",0.14796,0.06521106,0.03320001,0.14188,5.0,-0.28766116
"ROEr","D_OUTS_EQ",0.14791,0.13703951,0.10279,0.13964,5.0,-0.10426165
"SO/BB","SB",0.14779,0.12855163,0.06345,0.14211,5.0,-0.13870245
"UBB","G_C",0.14774,0.13976634,0.035669997,0.14595,5.0,-0.08929544
"END_GAMER","D_PMLVr",0.14771,0.07018641,0.058,0.1439,5.0,-0.27843058
"SF","PA_1B",0.14769,0.044516206,0.046739995,0.14503,5.0,0.32120678
"2B","PA_SS",0.14768,0.124689355,0.05787,0.14174,5.0,0.15162665
"PA_1B","UBBr",0.14767,0.13006952,0.09962,0.14083,5.0,0.13266678
"OUT","PA_DH",0.14765,0.14319897,0.030500002,0.14279,5.0,0.06671613
"PA_2B","D_RPMLVr",0.14763,0.13426176,0.01876,0.14183,5.0,0.11562117
"PA_SS","SLG",0.14763,0.14604406,0.058900006,0.14497,5.0,-0.039823953
"PA_1B","CS",0.14761,0.13266525,0.07027999,0.14155,5.0,-0.1222487
